CODGL;Viv;Pob;Viv_par;Pob_viv_part;Viv_col;Pob_viv_col;Pob_sit_calle
141246;1.105;2.397;1.105;2.397;.;.;.
141253;3.208;7.703;3.204;7.659;4;40;4
141260;1.710;4.162;1.708;4.096;2;66;.
141267;439;1.128;439;1.128;.;.;.
141274;621;1.507;620;1.500;1;7;.
141281;603;1.426;603;1.426;.;.;.
141288;8.364;18.849;8.360;18.771;4;78;.
141295;798;2.039;797;2.026;1;13;.
141302;1.319;2.799;1.315;2.791;4;8;.
141309;8.383;20.729;8.377;20.680;6;49;.
141316;2.493;6.253;2.490;6.238;3;15;.
141323;197;432;197;432;.;.;.
141330;1.440;3.401;1.436;3.359;4;42;.
141337;30.327;69.391;30.302;69.065;25;326;.
141344;1.115;2.829;1.112;2.816;3;13;.
141351;294;780;294;780;.;.;.
141358;1.531;3.847;1.531;3.847;.;.;.
141365;891;2.441;891;2.441;.;.;.
141372;22.685;60.695;22.658;60.417;27;278;.
141375;4.724;8.582;4.717;8.525;7;57;.
141377;560;1.729;560;1.729;.;.;.
141379;2.926;7.812;2.924;7.696;2;116;.
141386;483;1.189;483;1.189;.;.;.
141393;9.178;25.918;9.178;25.918;.;.;.
141400;257;592;257;592;.;.;.
141407;2.065;6.367;2.065;6.367;.;.;.
141410;1.868;5.543;1.866;5.515;2;28;.
141414;1.230;3.196;1.229;3.074;1;122;.
141421;5.539;13.235;5.529;13.143;10;92;.
141428;209;516;209;516;.;.;.
141435;793;1.913;793;1.913;.;.;.
141442;685;1.880;685;1.880;.;.;.
141449;5.341;11.897;5.337;11.833;4;64;.
141456;2.521;6.020;2.519;5.996;2;24;.
141463;2.205;5.376;2.202;5.347;3;29;.
141470;218;514;218;514;.;.;.
141477;5.390;13.179;5.380;12.919;10;260;.
141484;698;1.376;697;1.368;1;8;.
141491;21.967;53.416;21.949;53.228;18;188;.
141498;2.488;5.677;2.484;5.650;4;27;.
141505;1.114;2.764;1.112;2.745;2;19;.
141512;520;1.372;520;1.372;.;.;.
141519;821;2.077;821;2.077;.;.;.
141526;459;1.394;459;1.394;.;.;.
141533;876;2.636;876;2.636;.;.;.
141540;4.194;10.928;4.191;10.916;3;12;.
141547;659;1.502;659;1.502;.;.;.
141554;454;1.005;454;1.005;.;.;.
141561;2.469;5.828;2.465;5.823;4;5;.
141568;365;912;365;912;.;.;.
141575;343;638;343;638;.;.;.
141582;887;1.610;885;1.573;2;37;.
141589;479;1.057;478;1.045;1;12;.
141596;1.876;4.782;1.873;4.732;3;50;.
141603;322;699;322;699;.;.;.
141610;15.823;37.995;15.802;37.617;21;378;.
141617;302;849;302;849;.;.;.
141624;3.578;8.390;3.576;8.367;2;23;.
141631;322;893;322;893;.;.;.
141638;682;1.722;681;1.701;1;21;.
141645;135;443;133;420;2;23;.
141652;696;1.737;694;1.715;2;22;.
141659;4.032;9.591;4.030;9.551;2;40;.
141666;2.950;6.609;2.946;6.525;4;84;.
141673;241;571;241;571;.;.;.
141680;3.484;8.460;3.481;8.419;3;41;.
141687;1.804;4.019;1.803;4.001;1;18;.
141694;2.393;5.762;2.390;5.715;3;47;.
141701;1.170;2.949;1.168;2.940;2;9;.
141708;1.241;2.761;1.240;2.745;1;16;.
141715;772;1.838;770;1.812;2;26;.
141722;709;1.796;707;1.782;2;14;.
141729;1.409;3.487;1.409;3.487;.;.;.
141736;720;1.789;713;1.714;7;75;.
141743;698;1.507;696;1.488;2;19;.
142007;647;353;647;353;.;.;.
142014;200;160;194;147;6;13;.
142021;248;149;247;146;1;3;.
142028;122;231;122;231;.;.;.
142035;174;301;174;301;.;.;.
142042;254;460;253;455;1;5;.
142049;2.352;3.111;2.348;3.094;4;17;.
142056;50;94;49;91;1;3;.
142063;467;171;467;171;.;.;.
142070;311;196;311;196;.;.;.
142077;763;854;762;852;1;2;.
142084;1.753;2.740;1.751;2.731;2;9;.
142091;873;490;872;488;1;2;.
142098;135;412;135;412;.;.;.
142105;685;1.827;684;1.826;1;1;.
142126;494;509;494;509;.;.;.
142133;63;155;63;155;.;.;.
142140;182;735;182;735;.;.;.
142147;252;327;251;324;1;3;.
142161;180;425;180;425;.;.;.
142168;65;176;65;176;.;.;.
142175;244;629;244;629;.;.;.
142182;191;295;189;293;2;2;.
142189;281;1.104;281;1.104;.;.;.
142196;200;603;200;603;.;.;.
142203;397;1.197;397;1.197;.;.;.
142210;421;1.135;421;1.135;.;.;.
142217;347;971;347;971;.;.;.
142224;196;368;196;368;.;.;.
142231;26;51;26;51;.;.;.
142238;113;218;113;218;.;.;.
142245;27;60;27;60;.;.;.
142252;199;421;199;421;.;.;.
142259;180;467;180;467;.;.;.
142266;258;323;258;323;.;.;.
142273;238;697;237;687;1;10;.
142280;91;180;91;180;.;.;.
142287;32;66;32;66;.;.;.
142294;210;553;210;553;.;.;.
142301;139;344;139;344;.;.;.
142308;37;75;37;75;.;.;.
142315;51;131;51;131;.;.;.
142322;45;138;45;138;.;.;.
142329;14;38;14;38;.;.;.
142336;208;412;208;412;.;.;.
142343;114;231;114;231;.;.;.
142350;14;42;14;42;.;.;.
142357;321;571;321;571;.;.;.
142364;78;165;78;165;.;.;.
142371;311;562;311;562;.;.;.
142378;125;221;125;221;.;.;.
142385;160;369;160;369;.;.;.
142392;73;110;73;110;.;.;.
142399;62;98;62;98;.;.;.
142406;300;572;300;572;.;.;.
142413;205;319;205;319;.;.;.
142420;54;100;54;100;.;.;.
142427;117;184;116;183;1;1;.
142434;238;359;238;359;.;.;.
142441;140;301;140;301;.;.;.
142448;26;35;26;35;.;.;.
142455;48;103;48;103;.;.;.
142462;84;180;84;180;.;.;.
142469;675;615;674;612;1;3;.
142476;868;1.406;867;1.404;1;2;.
142483;489;820;488;817;1;3;.
142490;451;669;451;669;.;.;.
142497;1.112;2.357;1.112;2.357;.;.;.
142504;1.085;2.876;1.085;2.876;.;.;.
142518;1.338;2.476;1.338;2.476;.;.;.
142525;273;200;273;200;.;.;.
142532;2.123;3.561;2.120;3.556;3;5;.
142553;245;585;245;585;.;.;.
142560;110;193;110;193;.;.;.
142567;730;382;730;382;.;.;.
142574;73;178;73;178;.;.;.
142581;143;369;143;369;.;.;.
142588;176;374;176;374;.;.;.
142595;175;83;175;83;.;.;.
142602;210;550;210;550;.;.;.
142609;76;157;76;157;.;.;.
142616;64;186;64;186;.;.;.
142623;433;1.197;433;1.197;.;.;.
142630;82;171;82;171;.;.;.
142637;39;93;39;93;.;.;.
142644;136;316;136;316;.;.;.
142651;208;542;208;542;.;.;.
142658;91;230;91;230;.;.;.
142665;112;286;112;286;.;.;.
142672;159;475;159;475;.;.;.
142679;148;320;148;320;.;.;.
142686;70;190;69;186;1;4;.
142693;48;121;48;121;.;.;.
142700;119;175;119;175;.;.;.
142707;50;100;50;100;.;.;.
142714;39;56;39;56;.;.;.
142721;35;72;35;72;.;.;.
142728;179;472;179;472;.;.;.
142735;245;307;242;299;3;8;.
142742;101;187;101;187;.;.;.
142749;93;169;93;169;.;.;.
142756;296;818;296;818;.;.;.
142763;130;273;130;273;.;.;.
142770;221;448;221;448;.;.;.
142777;137;293;137;293;.;.;.
142784;383;849;383;849;.;.;.
142791;151;367;151;367;.;.;.
142798;152;428;152;428;.;.;.
142805;43;97;43;97;.;.;.
142812;99;175;99;175;.;.;.
142819;113;264;113;264;.;.;.
142826;236;634;236;634;.;.;.
142833;795;1.307;793;1.268;2;39;.
142840;673;1.413;673;1.413;.;.;.
142847;372;735;372;735;.;.;.
142854;599;974;599;974;.;.;.
142861;214;243;214;243;.;.;.
142868;1.251;2.200;1.251;2.200;.;.;.
142875;666;1.709;666;1.709;.;.;.
142882;233;685;233;685;.;.;.
142889;155;341;155;341;.;.;.
142896;427;783;423;770;4;13;.
